SCHOOLNAME,STATE,BOARD
"Jawahar Navodaya Vidyalayas Lapathy, Nicobar - Andaman and Nicobar Islands",ANDAMAN AND NICOBAR,CBSE
Jawahar Navodaya Vidyalayas Panchvati Andaman - Andaman and Nicobar Islands,ANDAMAN AND NICOBAR,CBSE
Naval Public School Minnie Bay Junglighat - Andaman and Nicobar Island,ANDAMAN AND NICOBAR,CBSE
Blair International school,ANDAMAN AND NICOBAR,IB
Vijayavani Residential School ICSE CHITTOOR Andhra Pradesh,ANDHRA PRADESH,
Vasishta School ICSE CHITTOOR Andhra Pradesh,ANDHRA PRADESH,
Rishi Valley School ICSE CHITTOOR Andhra Pradesh,ANDHRA PRADESH,ICSE
Emmaus - Swiss Referral Hospital School ICSE CHITTOOR Andhra Pradesh,ANDHRA PRADESH,ICSE
The Peepal Grove School ICSE CHITTOOR Andhra Pradesh,ANDHRA PRADESH,ICSE
Bhuvanagiri Public School ICSE YSR DISTRICT Andhra Pradesh,ANDHRA PRADESH,ICSE
Queen Mary's School ICSE YSR DISTRICT Andhra Pradesh,ANDHRA PRADESH,ICSE
The Hyderabad Public School ICSE YSR DISTRICT Andhra Pradesh,ANDHRA PRADESH,ICSE
Paramjyoti Public School ICSE EAST GODAVARI Andhra Pradesh,ANDHRA PRADESH,ICSE
St. Joseph's Convent School ICSE EAST GODAVARI Andhra Pradesh,ANDHRA PRADESH,ICSE
St. Ann's School ICSE EAST GODAVARI Andhra Pradesh,ANDHRA PRADESH,ICSE
Sri Sathya Sai Gurukulam E.m. School ICSE EAST GODAVARI Andhra Pradesh,ANDHRA PRADESH,ICSE
The Future Kid's School ICSE EAST GODAVARI Andhra Pradesh,ANDHRA PRADESH,ICSE
Loyola Public School ICSE GUNTUR Andhra Pradesh,ANDHRA PRADESH,ICSE
St. Joseph's Public School ICSE HYDERABAD Andhra Pradesh,ANDHRA PRADESH,ICSE
Sri Sai Public School ICSE HYDERABAD Andhra Pradesh,ANDHRA PRADESH,ICSE
Seventh Day Adventist High School ICSE HYDERABAD Andhra Pradesh,ANDHRA PRADESH,ICSE
Johnson Grammar School ICSE HYDERABAD Andhra Pradesh,ANDHRA PRADESH,ICSE
St. Martin's High School ICSE HYDERABAD Andhra Pradesh,ANDHRA PRADESH,ICSE
Gitanjali School ICSE HYDERABAD Andhra Pradesh,ANDHRA PRADESH,ICSE
Adarsh Public School Vinayak Nagar Pedagantyuda - Andhra Pradesh,ANDHRA PRADESH,ICSE
Air Force School Air Force Academy Hyderabad - Andhra Pradesh,ANDHRA PRADESH,ICSE
Air Force School Begumpet Air Force Station Hyderabad - Andhra Pradesh,ANDHRA PRADESH,CBSE
Air Force School Hakimpet Secunderabad - Andhra Pradesh,ANDHRA PRADESH,CBSE
Akshara School N F C L Township Kakinada - Andhra Pradesh,ANDHRA PRADESH,CBSE
Alluri Sitaramaraju Public School Arakkuvalley Visakhapatnam - Andhra Pradesh,ANDHRA PRADESH,CBSE
Anantha Vidya Niketan Nh-7 Vadiyampeta Anantapur - Andhra Pradesh,ANDHRA PRADESH,CBSE
Ansari Oxford Central School Ansari Nagar Cuddapah - Andhra Pradesh,ANDHRA PRADESH,CBSE
Army School No. 2 Bolarum Secundarabad - Andhra Pradesh,ANDHRA PRADESH,CBSE
Army School Ramakrishnapuram Secunderabad - Andhra Pradesh,ANDHRA PRADESH,CBSE
Ashram Public School Pithapuram Road Kakinada - Andhra Pradesh,ANDHRA PRADESH,CBSE
Atkinson High School Iron Market Gollapudi - Andhra Pradesh,ANDHRA PRADESH,CBSE
Atomic Energy Central School Dae Colony Ecil Post Hyderabad - Andhra Pradesh,ANDHRA PRADESH,CBSE
Atomic Energy Central School E C I L Campus Near Tifr Hyderabad - Andhra Pradesh,ANDHRA PRADESH,CBSE
Atomic Energy Central School Heavy Water Plant Colony Khammam - Andhra Pradesh,ANDHRA PRADESH,CBSE
Aurobindo Public School Ravindra Nagar Nalgonda - Andhra Pradesh,ANDHRA PRADESH,CBSE
Azra Public School 10-2-510/1 Asif Nagar Hyderabad - Andhra Pradesh,ANDHRA PRADESH,CBSE
B V Bhavan's Res Public School Pedatadepalli Post W.g - Andhra Pradesh,ANDHRA PRADESH,CBSE
B V Bhavans International Res Public Sc Bhimavaram West Godavary - Andhra Pradesh,ANDHRA PRADESH,CBSE
B V Reddy Senior Secondary School Satyanarayanapuram Chittoor - Andhra Pradesh,ANDHRA PRADESH,CBSE
B.h.e.l. Higher Secondary School Ramachandrapuram Hyderabad - Andhra Pradesh,ANDHRA PRADESH,CBSE
Bal Bharati Public School Deepanjali Nagar Visakhapatnam - Andhra Pradesh,ANDHRA PRADESH,CBSE
Bal Bharati Public School Railway Colony Visakhapatnam - Andhra Pradesh,ANDHRA PRADESH,CBSE
Bhadrachalam Pub. School & Jr College Sarapaka Khammam - Andhra Pradesh,ANDHRA PRADESH,CBSE
Bharat Public School Subhash Chandra Bose Nagar Kothagudam - Andhra Pradesh,ANDHRA PRADESH,CBSE
Bharatiya Vidya Bhavan's Public School Jubilee Hills Hyderabad - Andhra Pradesh,ANDHRA PRADESH,CBSE
Bharatiya Vidya Bhavan's Vidyashram Nird Campus Hyderabad - Andhra Pradesh,ANDHRA PRADESH,CBSE
Bharatiya Vidya Bhavans Public School B.h.e.l.township Hyderabad - Andhra Pradesh,ANDHRA PRADESH,CBSE
Bhartiya Vidya Bhawan's Varalakshmi Vidyashram Rajamundry - Andhra Pradesh,ANDHRA PRADESH,CBSE
Bhavan's Sri Ramakrishna Vidyalaya Sainikpuri Post Secunderabad - Andhra Pradesh,ANDHRA PRADESH,CBSE
Bhpv Senior Secondary School Bhpv Township Visakhapatnam - Andhra Pradesh,ANDHRA PRADESH,CBSE
Blooms Public School Chaitanya Bharathi Post Hyderabad - Andhra Pradesh,ANDHRA PRADESH,CBSE
Boon School Ramanayyapeta East Godavari - Andhra Pradesh,ANDHRA PRADESH,CBSE
Brahm Prakash D A V School Midhani Township Hyderabad - Andhra Pradesh,ANDHRA PRADESH,CBSE
Bvb Kamala Rani Sanghi Public School Kamla Rani Sanghi Public School K R - Andhra Pradesh,ANDHRA PRADESH,CBSE
C A L Public School 1-50 Kapra Main Road Hyderabad - Andhra Pradesh,ANDHRA PRADESH,CBSE
Chaitanya Bharathi Public School Gandipet Hyderabad - Andhra Pradesh,ANDHRA PRADESH,CBSE
Chaitanya Central School Yenugonda Mahabub Nagar - Andhra Pradesh,ANDHRA PRADESH,CBSE
Chinmaya Vidyalaya Door No.70c/xx Kurnool - Andhra Pradesh,ANDHRA PRADESH,CBSE
Chinmaya Vidyalaya Kundan Bagh Hyderabad - Andhra Pradesh,ANDHRA PRADESH,CBSE
Chirec Public School Municipal N.3010414 R R - Andhra Pradesh,ANDHRA PRADESH,CBSE
Crpf Public School Jawahar Nagar Ranga Reddy - Andhra Pradesh,ANDHRA PRADESH,CBSE
D A V B D L Public School B D L Township Medak - Andhra Pradesh,ANDHRA PRADESH,CBSE
D A V Public School C.c.i. Tandur Ranga Reddy - Andhra Pradesh,ANDHRA PRADESH,CBSE
D A V Public School Santoshima Nagar Hyderabad - Andhra Pradesh,ANDHRA PRADESH,CBSE
D A V Public School Sector-iii Visakhapatnam - Andhra Pradesh,ANDHRA PRADESH,CBSE
Dav Public School Vivekanand Nagar Colony Hyderabad - Andhra Pradesh,ANDHRA PRADESH,CBSE
Defence Laboratories School Kanchanbagh Po Hyderabad - Andhra Pradesh,ANDHRA PRADESH,CBSE
Defence Laboratories School Vignyankancha Hyderabad - Andhra Pradesh,ANDHRA PRADESH,CBSE
Delhi Public School Khanapuram Haveli (post) Khammam - Andhra Pradesh,ANDHRA PRADESH,CBSE
Delhi Public School Vsp Sector Viii Ukkunagaram Ukkunagaram - Andhra Pradesh,ANDHRA PRADESH,CBSE
Dr K L Prasad Public School J K C College Campus Guntur - Andhra Pradesh,ANDHRA PRADESH,CBSE
Durga Public School Near Nadikude Railway Station Guntur - Andhra Pradesh,ANDHRA PRADESH,CBSE
Ekashila Public School Jangaon Warangal - Andhra Pradesh,ANDHRA PRADESH,CBSE
English Union School 2-10-853/1 Jyothinagar Karimnagar - Andhra Pradesh,ANDHRA PRADESH,CBSE
Gnanabharati English Medium School Dabhuri Street Ichapuram - Andhra Pradesh,ANDHRA PRADESH,CBSE
Gomathy English Medium School Gomathy Nagar - Andhra Pradesh,ANDHRA PRADESH,CBSE
Good Shepherd Eng Med Senior Secondary School Beattie Compound Chittoor - Andhra Pradesh,ANDHRA PRADESH,CBSE
Gorkey Public School Mallemadueu Village Khammam - Andhra Pradesh,ANDHRA PRADESH,CBSE
H C L D A V Public School Hindustan Cables Ltd. Hyderabad - Andhra Pradesh,ANDHRA PRADESH,CBSE
Hal Senior Secondary School Hal Township (post) Hyderabad - Andhra Pradesh,ANDHRA PRADESH,CBSE
Harvard Public School 3-6-568 Himayat Nagar Hyderabad - Andhra Pradesh,ANDHRA PRADESH,CBSE
Hindu Public School Sanath Nagar Hyderabad - Andhra Pradesh,ANDHRA PRADESH,CBSE
Infant Jesus Public School A K Nagar Nellore - Andhra Pradesh,ANDHRA PRADESH,CBSE
Ivy League Academy Bommadale R.r - Andhra Pradesh,ANDHRA PRADESH,CBSE
J Sikile School Post Box No.24 West Godavari - Andhra Pradesh,ANDHRA PRADESH,CBSE
Jawahar D A V Public School V S P (j L M ) Township Krishna - Andhra Pradesh,ANDHRA PRADESH,CBSE
Jawahar D A V Public School V S P Township Madharam Khammam - Andhra Pradesh,ANDHRA PRADESH,CBSE
Jawahar Navodaya Vidyalaya Hcu Campus Gachibowli Hyderabad - Andhra Pradesh,ANDHRA PRADESH,CBSE
Jawahar Navodaya Vidyalaya Krishnapuram Village & Post Nellore - Andhra Pradesh,ANDHRA PRADESH,CBSE
Jawahar Navodaya Vidyalaya Maddirala Guntur - Andhra Pradesh,ANDHRA PRADESH,CBSE
Jawahar Navodaya Vidyalaya Mamnoor Warangal - Andhra Pradesh,ANDHRA PRADESH,CBSE
Jawahar Navodaya Vidyalaya N.r.palle Cuddapah - Andhra Pradesh,ANDHRA PRADESH,CBSE
Jawahar Navodaya Vidyalaya Nizam Sagar Nizamabad - Andhra Pradesh,ANDHRA PRADESH,CBSE
Jawahar Navodaya Vidyalaya Palair-post Khammam - Andhra Pradesh,ANDHRA PRADESH,CBSE
Jawahar Navodaya Vidyalaya Pamalaparthy (post) Medak - Andhra Pradesh,ANDHRA PRADESH,CBSE
Jawahar Navodaya Vidyalaya Pandavula Metta East Godavari - Andhra Pradesh,ANDHRA PRADESH,CBSE
Jawahar Navodaya Vidyalaya Sarubujjili Lakshmi Narsupeta Srikakulam - Andhra Pradesh,ANDHRA PRADESH,CBSE
Jawahar Navodaya Vidyalaya Sirpur-kagaz Nagar Adilabad - Andhra Pradesh,ANDHRA PRADESH,CBSE
Jawahar Navodaya Vidyalaya Valasapalle (village) Chittoor - Andhra Pradesh,ANDHRA PRADESH,CBSE
Jawahar Navodaya Vidyalayas Banavasi Via Kurnool - Andhra Pradesh,ANDHRA PRADESH,CBSE
Jawahar Navodaya Vidyalayas Chalakurthy Camp Nalgonda - Andhra Pradesh,ANDHRA PRADESH,CBSE
Jawahar Navodaya Vidyalayas Choppadandi Karimnagar - Andhra Pradesh,ANDHRA PRADESH,CBSE
Jawahar Navodaya Vidyalayas Hasanparthy Warangal - Andhra Pradesh,ANDHRA PRADESH,CBSE
Jawahar Navodaya Vidyalayas Hyderabad Central University Campus Rengareddy - Andhra Pradesh,ANDHRA PRADESH,CBSE
Jawahar Navodaya Vidyalayas Kiltapalem Vizianagaram - Andhra Pradesh,ANDHRA PRADESH,CBSE
Jawahar Navodaya Vidyalayas Kommadi Vishakhapatnam - Andhra Pradesh,ANDHRA PRADESH,CBSE
Jawahar Navodaya Vidyalayas Lepakshi Ananthapur - Andhra Pradesh,ANDHRA PRADESH,CBSE
Jawahar Navodaya Vidyalayas Nsc Colony Prakasam - Andhra Pradesh,ANDHRA PRADESH,CBSE
Jawahar Navodaya Vidyalayas Paleru Khammam - Andhra Pradesh,ANDHRA PRADESH,CBSE
Jawahar Navodaya Vidyalayas Peddapuram East Godavari - Andhra Pradesh,ANDHRA PRADESH,CBSE
Jawahar Navodaya Vidyalayas Vatteml Mahaboobnagar - Andhra Pradesh,ANDHRA PRADESH,CBSE
Jawahar Navodaya Vidyalayas Veleru (post & Village) Krishna - Andhra Pradesh,ANDHRA PRADESH,CBSE
Jawahar Navodaya Vidyalayas Vennelavalasa Srikakulam - Andhra Pradesh,ANDHRA PRADESH,CBSE
Jawahar Navodaya Vidyalayas Wargal Medak - Andhra Pradesh,ANDHRA PRADESH,CBSE
Jindal Bharati Vidya Mandir Jindal Nagar Vizianagram - Andhra Pradesh,ANDHRA PRADESH,CBSE
Jubilee Hills Public School Block - Iii Road No. 71 Hyderabad - Andhra Pradesh,ANDHRA PRADESH,CBSE
Jyothishmati Academy 9/3 Km Hyderabad Road Karim Nagar - Andhra Pradesh,ANDHRA PRADESH,CBSE
K C P Siddhartha Adarsh Res. Pub. School Kanuru Vijayawada - Andhra Pradesh,ANDHRA PRADESH,CBSE
K N R Central School H No.40/425 Eswar Nagar Kurnool - Andhra Pradesh,ANDHRA PRADESH,CBSE
Kakatiya Public School B C Road Visakhapatnam - Andhra Pradesh,ANDHRA PRADESH,CBSE
Kakinada Public School Sarvodaya Nagar Valasapakala East Godavari - Andhra Pradesh,ANDHRA PRADESH,CBSE
Kendriya Vidyalaya A.f.s. Begumpet Hyderabad - Andhra Pradesh,ANDHRA PRADESH,CBSE
Kendriya Vidyalaya Afs Hakimpet Secunderabad - Andhra Pradesh,ANDHRA PRADESH,CBSE
Kendriya Vidyalaya Afs Hakimpet Secunderabad - Andhra Pradesh,ANDHRA PRADESH,CBSE
Kendriya Vidyalaya Air Force Station Guntur - Andhra Pradesh,ANDHRA PRADESH,CBSE
Kendriya Vidyalaya Bolarum Allenby Lines Secunderabad - Andhra Pradesh,ANDHRA PRADESH,CBSE
Kendriya Vidyalaya Bowenpally Secunderbad - Andhra Pradesh,ANDHRA PRADESH,CBSE
Kendriya Vidyalaya C C I Township Adilabad - Andhra Pradesh,ANDHRA PRADESH,CBSE
Kendriya Vidyalaya C.c.i. Yerraguntla Cuddapah - Andhra Pradesh,ANDHRA PRADESH,CBSE
Kendriya Vidyalaya Crpf Barkas Hyderabad - Andhra Pradesh,ANDHRA PRADESH,CBSE
Kendriya Vidyalaya Gachibowli Hyderabad - Andhra Pradesh,ANDHRA PRADESH,CBSE
Kendriya Vidyalaya Ins Kalinga Visakhapatnam - Andhra Pradesh,ANDHRA PRADESH,CBSE
Kendriya Vidyalaya Kanchan Bagh Hyderabad - Andhra Pradesh,ANDHRA PRADESH,CBSE
Kendriya Vidyalaya Malkapuram Gandhigram Post Visakhapatnam - Andhra Pradesh,ANDHRA PRADESH,CBSE
Kendriya Vidyalaya Nallapadu Guntur - Andhra Pradesh,ANDHRA PRADESH,CBSE
Kendriya Vidyalaya Nandyal Road Kurnool - Andhra Pradesh,ANDHRA PRADESH,CBSE
Kendriya Vidyalaya Naval Armament Depot Visakhapatnam - Andhra Pradesh,ANDHRA PRADESH,CBSE
Kendriya Vidyalaya Nfc Nagar Colony R R - Andhra Pradesh,ANDHRA PRADESH,CBSE
Kendriya Vidyalaya Ngo Home Edepalli Krishna - Andhra Pradesh,ANDHRA PRADESH,CBSE
Kendriya Vidyalaya No 2 Carriage Repair Shop Tirupathi - Andhra Pradesh,ANDHRA PRADESH,CBSE
Kendriya Vidyalaya No.1 Air Force Academy Hyderabad - Andhra Pradesh,ANDHRA PRADESH,CBSE
Kendriya Vidyalaya No.1 Fertilizer City Karim Nagar - Andhra Pradesh,ANDHRA PRADESH,CBSE
Kendriya Vidyalaya No.1 Langer House Hyderabad - Andhra Pradesh,ANDHRA PRADESH,CBSE
Kendriya Vidyalaya No.1 Nausenabaugh Visakhapatnam - Andhra Pradesh,ANDHRA PRADESH,CBSE
Kendriya Vidyalaya No.1 Satyanarayanapuram Vijayawada - Andhra Pradesh,ANDHRA PRADESH,CBSE
Kendriya Vidyalaya No.1 Sri Vijay Nagar 104 Area Visakhapatnam - Andhra Pradesh,ANDHRA PRADESH,CBSE
Kendriya Vidyalaya No.2 104 Area Sri Vijaya Nagar Vishakapatnam - Andhra Pradesh,ANDHRA PRADESH,CBSE
Kendriya Vidyalaya No.2 Nanal Nagar X Roads Hyderabad - Andhra Pradesh,ANDHRA PRADESH,CBSE
Kendriya Vidyalaya No.2 Nausenabagh Gandhigram (post) Visakhapatnam - Andhra Pradesh,ANDHRA PRADESH,CBSE
Kendriya Vidyalaya No.2 Ntpc Jyothi Nagar Karimnagar - Andhra Pradesh,ANDHRA PRADESH,CBSE
Kendriya Vidyalaya No.2 Railway Wagon Workshop Colony Vijayawada - Andhra Pradesh,ANDHRA PRADESH,CBSE
Kendriya Vidyalaya No.2 Survey Of India Hyderabad - Andhra Pradesh,ANDHRA PRADESH,CBSE
Kendriya Vidyalaya No.i Ramnagar Area Tirupati - Andhra Pradesh,ANDHRA PRADESH,CBSE
Kendriya Vidyalaya O.n.g.c Base Complex Lalacheruvu Rajahmundry - Andhra Pradesh,ANDHRA PRADESH,CBSE
Kendriya Vidyalaya Ordnance Factory Medak - Andhra Pradesh,ANDHRA PRADESH,CBSE
Kendriya Vidyalaya Picket Secunderabad - Andhra Pradesh,ANDHRA PRADESH,CBSE
Kendriya Vidyalaya Post Trimulgherry Secunderabad - Andhra Pradesh,ANDHRA PRADESH,CBSE
Kendriya Vidyalaya Prabhat Nagar Anantapur - Andhra Pradesh,ANDHRA PRADESH,CBSE
Kendriya Vidyalaya R S Gooty Anantpur - Andhra Pradesh,ANDHRA PRADESH,CBSE
Kendriya Vidyalaya Sardar Vallabhai Patel Hyderabad - Andhra Pradesh,ANDHRA PRADESH,CBSE
Kendriya Vidyalaya Sku Campus Anantapur - Andhra Pradesh,ANDHRA PRADESH,CBSE
Kendriya Vidyalaya Visakhapatnam Steel Project Visakhapatnam - Andhra Pradesh,ANDHRA PRADESH,CBSE
Kendriya Vidyalaya Waltair Thatichetlapalem Visakhapatnam - Andhra Pradesh,ANDHRA PRADESH,CBSE
L&t Csi Public School L & T Apcw Thummalapenta Kurnool - Andhra Pradesh,ANDHRA PRADESH,CBSE
Learner's Land Central Public School L B Nagar Warangal - Andhra Pradesh,ANDHRA PRADESH,CBSE
Little Angels Public School Saradha Nagar Chillakur Nellore - Andhra Pradesh,ANDHRA PRADESH,CBSE
Little Scholar School 1-10-45/46 Chikoti Gardens Hyderabad - Andhra Pradesh,ANDHRA PRADESH,CBSE
Madanapalle Residential School Valasapalle 5th Kilometre Madanapalle - Andhra Pradesh,ANDHRA PRADESH,CBSE
Madonna Public School Moula Ali Hyderabad - Andhra Pradesh,ANDHRA PRADESH,CBSE
Meridian School For Boys & Girls 8-2-541 Road No-7 Hyderabad - Andhra Pradesh,ANDHRA PRADESH,CBSE
Montessori Public School Mahaboob Nagar - Andhra Pradesh,ANDHRA PRADESH,CBSE
Montessori Public School Mahaboob Nagar Alampur - Andhra Pradesh,ANDHRA PRADESH,CBSE
N.st.mathew's Public School Patamata Vijayawada - Andhra Pradesh,ANDHRA PRADESH,CBSE
Navabharat Public School Nava Nagar Siil Post Kammam - Andhra Pradesh,ANDHRA PRADESH,CBSE
Naval Public School Ii Sri Vijay Nagar Colony Vishakhapatnam - Andhra Pradesh,ANDHRA PRADESH,CBSE
Naval Public School Nausenabaugh Visakhapatnam - Andhra Pradesh,ANDHRA PRADESH,CBSE
Nellore Central School 29/413 Rohini Nagar Nellore - Andhra Pradesh,ANDHRA PRADESH,CBSE
Oasis School Raidurg Hyderabad - Andhra Pradesh,ANDHRA PRADESH,CBSE
P Obul Reddy Public School Andhra Mahila Sabha Hyderabad - Andhra Pradesh,ANDHRA PRADESH,CBSE
Akshara International School,ANDHRA PRADESH,CBSE
Arbor International School,ANDHRA PRADESH,CBSE
> Audisankara School,ANDHRA PRADESH,CBSE
> Azaan International School,ANDHRA PRADESH,ICSE
> C.g.r. International School,ANDHRA PRADESH,ICSE
> Dr. K.k.r's Gowtham International School,ANDHRA PRADESH,ICSE
> Foundation International School,ANDHRA PRADESH,ICSE
> Fusion International School,ANDHRA PRADESH,ICSE
> Glendale Academy International,ANDHRA PRADESH,ICSE
> Global Indian International School,ANDHRA PRADESH,ICSE
> Gomathy International School,ANDHRA PRADESH,ICSE
> Indus International School,ANDHRA PRADESH,ICSE
> K.c.p. Siddhartha Adarsh Residential Public School,ANDHRA PRADESH,ICSE
Kennedy International Residential School,ANDHRA PRADESH,ICSE
Lakshanika International School,ANDHRA PRADESH,ICSE
Manthan International School,ANDHRA PRADESH,ICSE
Nagarjuna Gurukul International School,ANDHRA PRADESH,ICSE
New Century Public School,ANDHRA PRADESH,ICSE
Oakridge International School,ANDHRA PRADESH,ICSE
Emmaus - Swiss Referral Hospital School,ANDHRA PRADESH,ICSE
The Peepal Grove School,ANDHRA PRADESH,ICSE
Bhuvanagiri Public School,ANDHRA PRADESH,ICSE
Queen Mary's School,ANDHRA PRADESH,ICSE
The Hyderabad Public School,ANDHRA PRADESH,ICSE
Paramjyoti Public School,ANDHRA PRADESH,ICSE
St. Joseph's Convent School,ANDHRA PRADESH,ICSE
St. Ann's School,ANDHRA PRADESH,ICSE
The Hyderabad Public School,ANDHRA PRADESH,ICSE
George's Grammar School.,ANDHRA PRADESH,ICSE
Sr. Beniges Girls Grammar School,ANDHRA PRADESH,ICSE
"[3:51 AM, 5/20/2021] .: St. George's Girls' Grammar School",ANDHRA PRADESH,ICSE
Vidyaranya High School For Boys & Girls,ANDHRA PRADESH,ICSE
> Nalanda Public School,ANDHRA PRADESH,ICSE
> Nasr School,ANDHRA PRADESH,ICSE
> St. Joseph's Public School,ANDHRA PRADESH,ICSE
> Sri Sai Public School,ANDHRA PRADESH,ICSE
> Seventh Day Adventist High School,ANDHRA PRADESH,ICSE
Johnson Grammar School,ANDHRA PRADESH,ICSE
St. Martin's High School,ANDHRA PRADESH,ICSE
Gitanjali School,ANDHRA PRADESH,ICSE
Siva Sivani Public School,ANDHRA PRADESH,ICSE
The Noble School,ANDHRA PRADESH,ICSE
Chaitanya Vidyalaya,ANDHRA PRADESH,ICSE
St. Joseph's High School ICSE SRIKAKULAM Andhra Pradesh St. John's Parish School ICSE VISAKHAPATNAM Andhra Pradesh,ANDHRA PRADESH,ICSE
Timpany School ICSE VISAKHAPATNAM Andhra Pradesh,ANDHRA PRADESH,ICSE
St. Aloysius Anglo - Indian High School ICSE VISAKHAPATNAM Andhra Pradesh,ANDHRA PRADESH,ICSE
St. Joseph's Girls' High School ICSE VISAKHAPATNAM Andhra Pradesh,ANDHRA PRADESH,ICSE
St. Joseph's Sec. School ICSE VISAKHAPATNAM Andhra Pradesh,ANDHRA PRADESH,ICSE
Public School ICSE VISAKHAPATNAM Andhra Pradesh,ANDHRA PRADESH,ICSE
St. Ann's Eng. Med. School ICSE VISAKHAPATNAM Andhra Pradesh,ANDHRA PRADESH,ICSE
Kotak Salesian School ICSE VISAKHAPATNAM Andhra Pradesh,ANDHRA PRADESH,ICSE
Spring Dales Public School ICSE VISAKHAPATNAM Andhra Pradesh,ANDHRA PRADESH,ICSE
Good Shepherd E.m. School ICSE VISAKHAPATNAM Andhra Pradesh,ANDHRA PRADESH,ICSE
St. Ann's E.m. School ICSE VISAKHAPATNAM Andhra Pradesh,ANDHRA PRADESH,ICSE
Nava Jeevan Public School ICSE VISAKHAPATNAM Andhra Pradesh,ANDHRA PRADESH,ICSE
Fort Catholic Girls' School ICSE VISAKHAPATNAM Andhra Pradesh,ANDHRA PRADESH,ICSE
St. Joseph's High School ICSE VISAKHAPATNAM Andhra Pradesh,ANDHRA PRADESH,ICSE
Samaritan School ICSE HYDERABAD Andhra Pradesh,ANDHRA PRADESH,ICSE
International School ICSE HYDERABAD Andhra Pradesh,ANDHRA PRADESH,ICSE
The Noble School ICSE HYDERABAD Andhra Pradesh,ANDHRA PRADESH,ICSE
Chaitanya Vidyalaya ICSE HYDERABAD Andhra Pradesh,ANDHRA PRADESH,ICSE
Kalpa School ICSE HYDERABAD Andhra Pradesh,ANDHRA PRADESH,ICSE
St. Theresa School ICSE HYDERABAD Andhra Pradesh,ANDHRA PRADESH,ICSE
Princess Esin Girls' School ICSE HYDERABAD Andhra Pradesh,ANDHRA PRADESH,ICSE
Gitanjali Devshala ICSE HYDERABAD Andhra Pradesh,ANDHRA PRADESH,ICSE
Nasr School Boys ICSE HYDERABAD Andhra Pradesh,ANDHRA PRADESH,ICSE
Sri Aurobindo International School ICSE HYDERABAD Andhra Pradesh,ANDHRA PRADESH,ICSE
Al Madrasa Tus Saifiya Tul Burhaniyah ICSE HYDERABAD Andhra Pradesh,ANDHRA PRADESH,ICSE
Pranava The School ICSE HYDERABAD Andhra Pradesh,ANDHRA PRADESH,ICSE
St. Joseph's School ICSE HYDERABAD Andhra Pradesh,ANDHRA PRADESH,ICSE
Little Flower English Medium School ICSE GUNTUR Andhra Pradesh,ANDHRA PRADESH,ICSE
St. Ann's School ICSE GUNTUR Andhra Pradesh,ANDHRA PRADESH,ICSE
The Hyderabad Public School ICSE HYDERABAD Andhra Pradesh,ANDHRA PRADESH,ICSE
St. George's Grammar School ICSE HYDERABAD Andhra Pradesh,ANDHRA PRADESH,ICSE
St. George's Girls' Grammar School ICSE HYDERABAD Andhra Pradesh,ANDHRA PRADESH,ICSE
Vidyaranya High School For Boys & Girls ICSE HYDERABAD Andhra Pradesh,ANDHRA PRADESH,ICSE
Nalanda Public School ICSE HYDERABAD Andhra Pradesh,ANDHRA PRADESH,ICSE
Nasr School ICSE HYDERABAD Andhra Pradesh,ANDHRA PRADESH,ICSE
Adarsh Senior Secondary School 3 Malony Road Chennai - Tamil Nadu,TAMILNADU,CBSE
Adarsh Vidya Kendra Poineer Compound Kanyakumari - Tamil Nadu,TAMILNADU,CBSE
Air Force School Afac Administrative College Coimbatore - Tamil Nadu,TAMILNADU,CBSE
Angappa Edu. Trust Senior Secondary School Raja Annamalai Chettiar Road Coimbatore - Tamil Nadu,TAMILNADU,CBSE
Army School Wellington Coimbatore - Tamil Nadu,TAMILNADU,CBSE
Asaian Christian High School Jeemangalam Village Dharmapuri - Tamil Nadu,TAMILNADU,CBSE
Asan Memorial Senior Secondary School Cochin House Chennai - Tamil Nadu,TAMILNADU,CBSE
Atomic Energy Central School Kalpakkam - Tamil Nadu,TAMILNADU,CBSE
B V Bhavan's Rajaji Vidyashram 485 Kilpauk Garden Road Chennai - Tamil Nadu,TAMILNADU,CBSE
Bala Vidya Mandir Senior Secondary School Iv-main Road Gandhi Nagar Chennai - Tamil Nadu,TAMILNADU,CBSE
Besant Arundale Senior Secondary School Kalakshetra Foundation Chennai - Tamil Nadu,TAMILNADU,CBSE
Bhaktavatsalam Vidyashram 596 A1 A2 31st Street Chennai - Tamil Nadu,TAMILNADU,CBSE
Bharath Senior Secondary School 121 Kamaraj Avenue Chennai - Tamil Nadu,TAMILNADU,CBSE
Bharathi Vidyalaya 721 Hollnganallu Chennai - Tamil Nadu,TAMILNADU,CBSE
Bharatiya Vidya Bhavan Aditya Vidyasharam Ariyalur Tk - Tamil Nadu,TAMILNADU,CBSE
Bhavans Gandhi Vidyashram P.b.no.9 Golf Club Road Dindigul - Tamil Nadu,TAMILNADU,CBSE
Breeks All India Secondary School Charing Cross Coimbatore - Tamil Nadu,TAMILNADU,CBSE
Buds & Bloossoms 11 Beach Road Cuddalore - Tamil Nadu,TAMILNADU,CBSE
C V R D E Secondary School Avadi Chennai - Tamil Nadu,TAMILNADU,CBSE
Chathrapathy Shivaji D A V School 13 Circular Road Chennai - Tamil Nadu,TAMILNADU,CBSE
